app_id,title,score,ratings,reviews,installs,bank_code,bank_name
com.combanketh.mobilebanking,Commercial Bank of Ethiopia,4.319299,38863,8337,"5,000,000+",CBE,Commercial Bank of Ethiopia
com.dashen.dashensuperapp,Dashen Bank,4.164619,3913,771,"1,000,000+",Dashen,Dashen Bank
com.boa.boaMobileBanking,BoA Mobile,4.1840873,6362,1219,"1,000,000+",BOA,Bank of Abyssinia
